Expected,Predicted,LIME explanations
6,5.82,"[('alcohol > 0.72', 0.689619260650969), ('free sulfur dioxide <= -0.71', -0.21562061934772536), ('-0.18 < volatile acidity <= 0.42', -0.12156361590635034), ('residual sugar <= -0.93', -0.11712037338158357), ('fixed acidity > 0.52', -0.08500335571526024), ('density <= -0.76', 0.07320892256190353)]"
5,5.12,"[('alcohol > 0.72', 0.7089197035871412), ('free sulfur dioxide <= -0.71', -0.23841901077581196), ('residual sugar <= -0.93', -0.11597621313929979), ('-0.18 < volatile acidity <= 0.42', -0.1081204234491557), ('fixed acidity > 0.52', -0.08620133825532503), ('density <= -0.76', 0.06300639865592282)]"
5,5.12,"[('alcohol > 0.72', 0.7171888648920626), ('free sulfur dioxide <= -0.71', -0.25021509792194124), ('residual sugar <= -0.93', -0.11637555589454575), ('fixed acidity > 0.52', -0.10537405925572198), ('-0.18 < volatile acidity <= 0.42', -0.10514876516164111), ('density <= -0.76', 0.05908756846603154)]"
5,5.02,"[('alcohol > 0.72', 0.708068934238705), ('free sulfur dioxide <= -0.71', -0.236875565101433), ('-0.18 < volatile acidity <= 0.42', -0.13218996237995945), ('residual sugar <= -0.93', -0.1186046066174924), ('fixed acidity > 0.52', -0.0963157891736417), ('density <= -0.76', 0.05673419878314863)]"
4,5.2,"[('alcohol > 0.72', 0.6843683654543963), ('free sulfur dioxide <= -0.71', -0.22539034632775695), ('-0.18 < volatile acidity <= 0.42', -0.10430515598726374), ('residual sugar <= -0.93', -0.10177870906353359), ('fixed acidity > 0.52', -0.09527090996666125), ('density <= -0.76', 0.07191799770239261)]"
6,5.48,"[('alcohol > 0.72', 0.7307442872240714), ('free sulfur dioxide <= -0.71', -0.2328076498300978), ('residual sugar <= -0.93', -0.11734929691770857), ('-0.18 < volatile acidity <= 0.42', -0.11698961408351295), ('fixed acidity > 0.52', -0.0917009081360951), ('density <= -0.76', 0.07283508491877468)]"
6,5.96,"[('alcohol > 0.72', 0.7079019246611595), ('free sulfur dioxide <= -0.71', -0.23881954626938776), ('-0.18 < volatile acidity <= 0.42', -0.09943954578853889), ('residual sugar <= -0.93', -0.09343511427239161), ('fixed acidity > 0.52', -0.07191713711267884), ('density <= -0.76', 0.0616319847797009)]"
5,5.38,"[('alcohol > 0.72', 0.7128859073973726), ('free sulfur dioxide <= -0.71', -0.23270719765412745), ('residual sugar <= -0.93', -0.11421748335715409), ('-0.18 < volatile acidity <= 0.42', -0.10172132498493985), ('density <= -0.76', 0.09078102619244849), ('fixed acidity > 0.52', -0.0900907129601097)]"
7,6.36,"[('alcohol > 0.72', 0.697465107539797), ('free sulfur dioxide <= -0.71', -0.2432909072212707), ('-0.18 < volatile acidity <= 0.42', -0.11628926429699475), ('fixed acidity > 0.52', -0.09657910046983666), ('residual sugar <= -0.93', -0.09369824750087577), ('density <= -0.76', 0.06860489224854098)]"
5,5.04,"[('alcohol > 0.72', 0.6868336754231171), ('free sulfur dioxide <= -0.71', -0.23510517445942478), ('-0.18 < volatile acidity <= 0.42', -0.11508518911076525), ('residual sugar <= -0.93', -0.10226933218028175), ('fixed acidity > 0.52', -0.09804082724654709), ('density <= -0.76', 0.07286975429460539)]"
6,6.0,"[('alcohol > 0.72', 0.7070300863712621), ('free sulfur dioxide <= -0.71', -0.24420894148558764), ('-0.18 < volatile acidity <= 0.42', -0.10645882247486), ('residual sugar <= -0.93', -0.10370320975191444), ('fixed acidity > 0.52', -0.0934903120545302), ('density <= -0.76', 0.06703163892273113)]"
6,5.22,"[('alcohol > 0.72', 0.7060827011977606), ('free sulfur dioxide <= -0.71', -0.24629737288412465), ('residual sugar <= -0.93', -0.13142298383615136), ('-0.18 < volatile acidity <= 0.42', -0.11215226495390179), ('fixed acidity > 0.52', -0.10426778758400393), ('density <= -0.76', 0.0664534646617908)]"
6,5.76,"[('alcohol > 0.72', 0.7112651563976155), ('free sulfur dioxide <= -0.71', -0.23033874902105103), ('-0.18 < volatile acidity <= 0.42', -0.13997060704544922), ('residual sugar <= -0.93', -0.09781859631602606), ('fixed acidity > 0.52', -0.08162447361198373), ('density <= -0.76', 0.04989263892207639)]"
7,5.46,"[('alcohol > 0.72', 0.7068476985414797), ('free sulfur dioxide <= -0.71', -0.2336752573959602), ('residual sugar <= -0.93', -0.12214722445004184), ('-0.18 < volatile acidity <= 0.42', -0.10184459339316808), ('fixed acidity > 0.52', -0.060223940962182185), ('density <= -0.76', 0.05512097002343293)]"
6,5.68,"[('alcohol > 0.72', 0.6872615739455854), ('free sulfur dioxide <= -0.71', -0.24995330220358272), ('residual sugar <= -0.93', -0.13028493691097962), ('-0.18 < volatile acidity <= 0.42', -0.10765018811585414), ('fixed acidity > 0.52', -0.10130628982600333), ('density <= -0.76', 0.07839746537337007)]"
6,6.06,"[('alcohol > 0.72', 0.7172233068914637), ('free sulfur dioxide <= -0.71', -0.23499326335558599), ('residual sugar <= -0.93', -0.13347881020335423), ('-0.18 < volatile acidity <= 0.42', -0.11200104532311514), ('fixed acidity > 0.52', -0.0789646301822674), ('density <= -0.76', 0.07313984231804212)]"
8,6.44,"[('alcohol > 0.72', 0.7111971362560509), ('free sulfur dioxide <= -0.71', -0.26475516464614474), ('-0.18 < volatile acidity <= 0.42', -0.11089286200931327), ('fixed acidity > 0.52', -0.10693090810331381), ('residual sugar <= -0.93', -0.10679410331776959), ('density <= -0.76', 0.07516819771460725)]"
8,6.74,"[('alcohol > 0.72', 0.7340306730069278), ('free sulfur dioxide <= -0.71', -0.25535386248644915), ('-0.18 < volatile acidity <= 0.42', -0.11544469092669696), ('residual sugar <= -0.93', -0.11275562585446076), ('density <= -0.76', 0.08723767515543904), ('fixed acidity > 0.52', -0.07512437744746832)]"
5,5.12,"[('alcohol > 0.72', 0.7070579621434968), ('free sulfur dioxide <= -0.71', -0.23844443685770142), ('residual sugar <= -0.93', -0.11578248841573538), ('-0.18 < volatile acidity <= 0.42', -0.10058770225529033), ('density <= -0.76', 0.08216412367255928), ('fixed acidity > 0.52', -0.07981604605162147)]"
5,5.38,"[('alcohol > 0.72', 0.7212878713582986), ('free sulfur dioxide <= -0.71', -0.25160944009802466), ('residual sugar <= -0.93', -0.13069865280472656), ('-0.18 < volatile acidity <= 0.42', -0.09339690301300017), ('density <= -0.76', 0.09047868609355234), ('fixed acidity > 0.52', -0.07714730120581127)]"
6,5.82,"[('alcohol > 0.72', 0.7163051702202822), ('free sulfur dioxide <= -0.71', -0.25735935662539694), ('-0.18 < volatile acidity <= 0.42', -0.11677969684212819), ('residual sugar <= -0.93', -0.11202785454471943), ('density <= -0.76', 0.08809759777838377), ('fixed acidity > 0.52', -0.08371239235918257)]"
6,5.58,"[('alcohol > 0.72', 0.7096114721344043), ('free sulfur dioxide <= -0.71', -0.24656852015087344), ('residual sugar <= -0.93', -0.14122749569240314), ('-0.18 < volatile acidity <= 0.42', -0.10227333761772807), ('fixed acidity > 0.52', -0.09655258118607751), ('density <= -0.76', 0.05568310517123276)]"
5,5.64,"[('alcohol > 0.72', 0.6917465027908458), ('free sulfur dioxide <= -0.71', -0.23948982105262184), ('residual sugar <= -0.93', -0.13484407104940913), ('-0.18 < volatile acidity <= 0.42', -0.11766093784654556), ('density <= -0.76', 0.08153881889034999), ('fixed acidity > 0.52', -0.07402523927892532)]"
5,5.82,"[('alcohol > 0.72', 0.7113052263295621), ('free sulfur dioxide <= -0.71', -0.2484085434508563), ('residual sugar <= -0.93', -0.1199300927853542), ('-0.18 < volatile acidity <= 0.42', -0.11867930327595606), ('fixed acidity > 0.52', -0.08735986783132026), ('density <= -0.76', 0.08244204129828235)]"
5,5.52,"[('alcohol > 0.72', 0.6989020041351998), ('free sulfur dioxide <= -0.71', -0.25738038018676346), ('residual sugar <= -0.93', -0.1263557941078559), ('-0.18 < volatile acidity <= 0.42', -0.10269947813313032), ('fixed acidity > 0.52', -0.0783877730319126), ('density <= -0.76', 0.0767329405923796)]"
6,5.42,"[('alcohol > 0.72', 0.6873820467732111), ('free sulfur dioxide <= -0.71', -0.24857622247322977), ('residual sugar <= -0.93', -0.1198530171736082), ('-0.18 < volatile acidity <= 0.42', -0.11533891505128614), ('fixed acidity > 0.52', -0.09363228467409118), ('density <= -0.76', 0.06995012580013553)]"
5,5.48,"[('alcohol > 0.72', 0.7118969831136042), ('free sulfur dioxide <= -0.71', -0.236320314657175), ('residual sugar <= -0.93', -0.10901428164116934), ('-0.18 < volatile acidity <= 0.42', -0.10201289501371573), ('fixed acidity > 0.52', -0.08906682236863368), ('density <= -0.76', 0.07302152114998327)]"
7,6.8,"[('alcohol > 0.72', 0.6936532512697667), ('free sulfur dioxide <= -0.71', -0.2407459121599296), ('-0.18 < volatile acidity <= 0.42', -0.12024371262699518), ('residual sugar <= -0.93', -0.11138645283127464), ('fixed acidity > 0.52', -0.0930065306468844), ('density <= -0.76', 0.08298308730849543)]"
6,6.02,"[('alcohol > 0.72', 0.7288826247252083), ('free sulfur dioxide <= -0.71', -0.24612633357284847), ('-0.18 < volatile acidity <= 0.42', -0.11971712101177785), ('residual sugar <= -0.93', -0.10195312957050108), ('fixed acidity > 0.52', -0.07743319429722789), ('density <= -0.76', 0.07646728263818527)]"
6,5.74,"[('alcohol > 0.72', 0.7088712888902833), ('free sulfur dioxide <= -0.71', -0.25620505849757025), ('residual sugar <= -0.93', -0.12860973795301392), ('-0.18 < volatile acidity <= 0.42', -0.10658532650262725), ('fixed acidity > 0.52', -0.0772522145825301), ('density <= -0.76', 0.07422046706049408)]"
7,7.06,"[('alcohol > 0.72', 0.7088553185641051), ('free sulfur dioxide <= -0.71', -0.24286932503975833), ('-0.18 < volatile acidity <= 0.42', -0.1139864033657693), ('residual sugar <= -0.93', -0.10872512141423445), ('fixed acidity > 0.52', -0.08175307103128861), ('density <= -0.76', 0.06079931040808465)]"
5,5.44,"[('alcohol > 0.72', 0.7319464290975457), ('free sulfur dioxide <= -0.71', -0.24818408345316328), ('-0.18 < volatile acidity <= 0.42', -0.11851017523356172), ('residual sugar <= -0.93', -0.10928401922649912), ('fixed acidity > 0.52', -0.08258461465978571), ('density <= -0.76', 0.075277838240989)]"
5,5.34,"[('alcohol > 0.72', 0.712563436257523), ('free sulfur dioxide <= -0.71', -0.2251749522448116), ('residual sugar <= -0.93', -0.12786720630097503), ('-0.18 < volatile acidity <= 0.42', -0.12642834676856357), ('density <= -0.76', 0.104212917459758), ('fixed acidity > 0.52', -0.0815206288534877)]"
6,6.84,"[('alcohol > 0.72', 0.7168071568528361), ('free sulfur dioxide <= -0.71', -0.24591429543109802), ('residual sugar <= -0.93', -0.11097109318154107), ('-0.18 < volatile acidity <= 0.42', -0.09223230264538128), ('density <= -0.76', 0.07368272130325615), ('fixed acidity > 0.52', -0.07266415345961523)]"
6,6.84,"[('alcohol > 0.72', 0.7168296191096543), ('free sulfur dioxide <= -0.71', -0.2575814216454761), ('-0.18 < volatile acidity <= 0.42', -0.13002661323439832), ('residual sugar <= -0.93', -0.0988054636728617), ('fixed acidity > 0.52', -0.09226692964043046), ('density <= -0.76', 0.07997537494810858)]"
5,5.12,"[('alcohol > 0.72', 0.7187692427156527), ('free sulfur dioxide <= -0.71', -0.24630924808839738), ('-0.18 < volatile acidity <= 0.42', -0.12772338965718552), ('residual sugar <= -0.93', -0.12301877216514401), ('fixed acidity > 0.52', -0.0975671299895201), ('density <= -0.76', 0.06519429379569894)]"
5,5.5,"[('alcohol > 0.72', 0.7158775265476857), ('free sulfur dioxide <= -0.71', -0.24244129719747445), ('-0.18 < volatile acidity <= 0.42', -0.1234472242925481), ('residual sugar <= -0.93', -0.11548258860854602), ('fixed acidity > 0.52', -0.08815777373292565), ('density <= -0.76', 0.08485872904042474)]"
6,6.84,"[('alcohol > 0.72', 0.6938471076061975), ('free sulfur dioxide <= -0.71', -0.2336180513421614), ('residual sugar <= -0.93', -0.1316535005023441), ('-0.18 < volatile acidity <= 0.42', -0.11374726110109834), ('fixed acidity > 0.52', -0.09501850873547621), ('density <= -0.76', 0.07736483957143209)]"
5,5.28,"[('alcohol > 0.72', 0.7164584148737569), ('free sulfur dioxide <= -0.71', -0.24657821221025986), ('residual sugar <= -0.93', -0.11007036349130792), ('-0.18 < volatile acidity <= 0.42', -0.10275453231332993), ('fixed acidity > 0.52', -0.09318435767729721), ('density <= -0.76', 0.0907999563798806)]"
6,5.98,"[('alcohol > 0.72', 0.6692578928683822), ('free sulfur dioxide <= -0.71', -0.2391638977016085), ('-0.18 < volatile acidity <= 0.42', -0.12111049799440209), ('residual sugar <= -0.93', -0.11244512848052225), ('fixed acidity > 0.52', -0.08262390448340881), ('density <= -0.76', 0.057355168464533)]"
7,6.04,"[('alcohol > 0.72', 0.6995897138615683), ('free sulfur dioxide <= -0.71', -0.2504919900574697), ('residual sugar <= -0.93', -0.10836016185663265), ('-0.18 < volatile acidity <= 0.42', -0.10760461973779901), ('density <= -0.76', 0.09156783809841866), ('fixed acidity > 0.52', -0.08248529977488497)]"
5,5.14,"[('alcohol > 0.72', 0.6951044568408148), ('free sulfur dioxide <= -0.71', -0.24813463086815188), ('residual sugar <= -0.93', -0.12253099893812741), ('-0.18 < volatile acidity <= 0.42', -0.09761747636385139), ('fixed acidity > 0.52', -0.08800988657859059), ('density <= -0.76', 0.08584685943691743)]"
4,5.22,"[('alcohol > 0.72', 0.7115807793569466), ('free sulfur dioxide <= -0.71', -0.2275588255996683), ('residual sugar <= -0.93', -0.12465894276866636), ('-0.18 < volatile acidity <= 0.42', -0.1110531435220215), ('fixed acidity > 0.52', -0.09903091292775794), ('density <= -0.76', 0.07829513668021694)]"
8,6.52,"[('alcohol > 0.72', 0.6995826484447152), ('free sulfur dioxide <= -0.71', -0.24094748597963236), ('-0.18 < volatile acidity <= 0.42', -0.11775532575664586), ('fixed acidity > 0.52', -0.11224365063332387), ('residual sugar <= -0.93', -0.10759468436074036), ('density <= -0.76', 0.08704185895465702)]"
3,6.36,"[('alcohol > 0.72', 0.696393494592779), ('free sulfur dioxide <= -0.71', -0.22985020521286137), ('residual sugar <= -0.93', -0.11711244545092682), ('-0.18 < volatile acidity <= 0.42', -0.11151019056015046), ('fixed acidity > 0.52', -0.10848245265762625), ('density <= -0.76', 0.08544315052373827)]"
6,5.88,"[('alcohol > 0.72', 0.6982854397677418), ('free sulfur dioxide <= -0.71', -0.241787607307644), ('residual sugar <= -0.93', -0.1160583276500702), ('-0.18 < volatile acidity <= 0.42', -0.10736482189303186), ('fixed acidity > 0.52', -0.08268395328556198), ('density <= -0.76', 0.06164945556522516)]"
6,5.88,"[('alcohol > 0.72', 0.7130425240632295), ('free sulfur dioxide <= -0.71', -0.2613784480453934), ('residual sugar <= -0.93', -0.12839706358280287), ('-0.18 < volatile acidity <= 0.42', -0.1077841775954268), ('density <= -0.76', 0.0938078705198904), ('fixed acidity > 0.52', -0.08601234076216495)]"
7,6.8,"[('alcohol > 0.72', 0.6902777245472631), ('free sulfur dioxide <= -0.71', -0.25238052066435857), ('residual sugar <= -0.93', -0.13546611688959687), ('-0.18 < volatile acidity <= 0.42', -0.12359391056610869), ('fixed acidity > 0.52', -0.11108209822926322), ('density <= -0.76', 0.07572650945979409)]"
